tick,iso8601,date,location type,location coordinates,agent infected,age of agent infected,activity of agent infected,agent responsible,age of agent responsible,activity of agent responsible
4701,03/26/2020T15:30:00 ,2020-03-26,Hospital,"(4042258.9607014074, 2950931.6351770703)",12f28bed08464486959d61af39cf1532,35,Work,830f6eae3f8742d78521775fb469f2cf,50,Work
4702,03/26/2020T15:40:00 ,2020-03-26,Shop,"(4034128.885257571, 2953911.3275973205)",a078193d2a3544a190e5a170475d090b,59,Work,88e9f8dac0d847268a44aa17bf2a747e,57,Work
4702,03/26/2020T15:40:00 ,2020-03-26,Hospital,"(4042258.9607014074, 2950931.6351770703)",b500263cdb7e42e3911135b3b85fb535,47,Work,665e1c58dbd94f248682e7e5205622d5,57,Work
4702,03/26/2020T15:40:00 ,2020-03-26,Hospital,"(4045102.858066724, 2979597.322526268)",51bcdcdd863b4eefa4eb2c48cf845b98,28,Work,7a7383f978554ec598094710325f2c1b,42,Work
4702,03/26/2020T15:40:00 ,2020-03-26,Hospital,"(4063916.0352804908, 2972174.8520156243)",64bac6dc96544749a85b1acebfdd71f5,37,Work,9741379f707d497b85bcfcf07e35d626,70,House
4702,03/26/2020T15:40:00 ,2020-03-26,Hospital,"(4063916.0352804908, 2972174.8520156243)",bfaa9ca371ae453187e14ec956946ac4,47,Work,1957eff4b86643d4b871db30694b1381,59,Work
4703,03/26/2020T15:50:00 ,2020-03-26,Hospital,"(4042258.9607014074, 2950931.6351770703)",14dcb4f3ba9d423fbf7cd00c2f87682f,18,Work,344abf3b9fc7419c93ad7f65198d47b2,62,House
4705,03/26/2020T16:10:00 ,2020-03-26,Shop,"(4034128.885257571, 2953911.3275973205)",a92535b2584e406388b94e7e3314e0da,48,Work,d5e30a4da0dd4d6b898a6cc39ecc5c49,43,Work
4706,03/26/2020T16:20:00 ,2020-03-26,Hospital,"(4045102.858066724, 2979597.322526268)",d580b2bb9c3b42e0bda0c8df164f915d,22,Work,5c154309885545308fda91c15d0f2c31,61,Work
4713,03/26/2020T17:30:00 ,2020-03-26,Shop,"(4034128.885257571, 2953911.3275973205)",85a8ed28076245e493e3753aa89ba01a,20,Work,d5e30a4da0dd4d6b898a6cc39ecc5c49,43,Work
4715,03/26/2020T17:50:00 ,2020-03-26,Public Transport,"(4041037.114763287, 2955043.155313621)",da7dbae767cf46cf93dda38849b42194,9,Public Transport,a31b751fac9d4f539f3c91ca1e4b8b72,38,Public Transport
4746,03/26/2020T23:00:00 ,2020-03-26,House,"(4028273.3316671913, 2973962.6558254687)",89a3e1e3fb0f40e796da6971750373af,1,House,9a052c5dc11a4afca80e47addbfb8335,49,House
4751,03/26/2020T23:50:00 ,2020-03-26,House,"(4026315.9100543475, 2956748.0006929473)",5b6e7fb286e045889fe16931af02e4cf,18,Work,7ee9bbba4a8348d3ab43a8d3d4ad74c6,49,House
4785,03/27/2020T05:30:00 ,2020-03-27,House,"(4040383.021593522, 2950356.445868885)",676c136fb5d2416e9de69c516b190a0b,5,House,956ba5c1232c41f3ac7e0e8fa7ded318,59,House
4787,03/27/2020T05:50:00 ,2020-03-27,House,"(4020732.241950801, 2946583.377320163)",0fa2ffa2da324ac198b3e87e7f017ba9,3,House,2d9090f4cff94047bd6288c81871623c,34,House
4796,03/27/2020T07:20:00 ,2020-03-27,House,"(4037121.2542285235, 2951114.739046847)",e93fa3fff45c4eb9970f284d2ce0b598,25,House,06064eacfa2947c88bf9eec69a5a4f59,46,House
4799,03/27/2020T07:50:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",6c889dd589b34a19bbbe2d30f1d0672a,54,Work,5c6b1d92bc84484b89f95081ae5980ff,23,Work
4803,03/27/2020T08:30:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",b934dd318e364d8aaf68f62122602480,61,Work,665e1c58dbd94f248682e7e5205622d5,57,Work
4804,03/27/2020T08:40:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",b2e426303e8f456bb4de7e67350b74d8,55,Work,748bcee0cf38496290a5f099003bce94,64,Work
4804,03/27/2020T08:40:00 ,2020-03-27,Hospital,"(4045102.858066724, 2979597.322526268)",802665e1a1164837945126159ffb2b72,40,Work,64f286e1015b4ca8b137a4bfa603a1fe,35,Work
4808,03/27/2020T09:20:00 ,2020-03-27,Hospital,"(4045102.858066724, 2979597.322526268)",e7074d304d674a21aa56ad9a9054756e,20,Work,9e943afc54fa44aba14925c77e461d68,56,Work
4810,03/27/2020T09:40:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",0656bc9ed71a4897971bba9d54ccf871,58,Work,d6a86851cc1848ab860cd5fe84018ef2,49,Work
4810,03/27/2020T09:40:00 ,2020-03-27,Hospital,"(4045102.858066724, 2979597.322526268)",cf72efaa1b4c4420862ff154c175d864,55,Work,54c69e058a9045dda3a152233c354fe9,48,Work
4812,03/27/2020T10:00:00 ,2020-03-27,Hospital,"(4063916.0352804908, 2972174.8520156243)",48ed69ccbd5943e7823e05e9fdb0e492,26,Work,88ce10c08e264456b36dd35f20231fe1,56,Work
4814,03/27/2020T10:20:00 ,2020-03-27,Secondary School,"(4051574.3769860314, 2938511.9790684464)",0f91292323da4d73adfe3289f0348c4e,19,School,ad8da0b3ce1f412ba9b6cf99dc755b9d,19,School
4815,03/27/2020T10:30:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",835550af0bbf432aab2e3a290a548769,36,Work,929683c00463457daab59dd767b08bfa,40,Work
4816,03/27/2020T10:40:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",cdcb920bc8d84d36a30884c2d5075710,53,Work,fc71206205b945f2897197930a3ddc28,28,Work
4816,03/27/2020T10:40:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",5648971c25fe47d29d5f4cd1a3d46762,22,Work,cb3f443e3f784ba49f3c15e45cec9808,39,Work
4817,03/27/2020T10:50:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",aec0b3e925da4aaa8ccd3c0f513f56b4,48,Work,197ff83199fd4f699322e2a45fa30556,29,Work
4817,03/27/2020T10:50:00 ,2020-03-27,Hospital,"(4045102.858066724, 2979597.322526268)",5f90f472c5bf4d62909a64712c53f89d,55,Work,c7191813f11e40ac91235a1fcc45dd16,51,Work
4819,03/27/2020T11:10:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",77d31577061a4467ab9f5c51543b366a,55,Work,d97a0dd26f554c6091193dc1654b7fc7,55,Work
4819,03/27/2020T11:10:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",943a1cc1c87044dd9ca990c3eb5d1113,44,Work,a33b975f8ec54c78a11f8074eaf16cd1,22,Work
